"Pulp Fiction", 5
"Kill Bill Vol. 1", 4.5
"Kill Bill Vol. 2", 4
"Reservoir Dogs", 4
"Django Unchained", 3.5
"Inglourious Basterds", 3.5
"Jackie Brown", 3.5
"Taxi Driver", 4.5
"The Usual Suspects", 4
"Gosford Park", 2
"Argo", 3
"2001: A Space Odyssey", 4.5
"Dr. Strangelove", 3.5
"A Clockwork Orange", 4.5
"The Shining", 3.5
"Citizen Kane", 5
"Killer's Kiss", 2.5
"The Killing", 4
"Paths of Glory", 3.5
"Battleship Potemkin", 3.5
"Spartacus", 3
"Lolita", 4
"Barry Lyndon", 3.5
"Eyes Wide Shut", 4
"Death Proof", 1
"Planet Terror", 2
"Full Metal Jacket", 4.5
"The Godfather", 5
"The Godfather Part II", 4.5
"In The Loop", 3
"The Departed", 4
"Raging Bull", 4
"Mean Streets", 4
"The King of Comedy", 4
"After Hours", 3
"The Hustler", 4
"The Last Temptation of Christ", 4.5
"The Color of Money", 3
"Goodfellas", 4.5
"Cape Fear", 3, 1962
"Cape Fear", 3, 1991
"The Age of Innocence", 3.5
"Casino", 3
"Kundun", 3.5
"The Good, The Bad and The Ugly", 4.5
"Scarface", 4, 1983
"On the Waterfront", 4.5
"Bringing Out The Dead", 3.5
"Hugo", 3.5
"Gangs of New York", 3.5
"A Streetcar Named Desire", 4.5
"East of Eden", 4
"Shutter Island", 3.5
"The Aviator", 3.5
"Psycho", 4.5
"The Social Network", 3.5
"Rebel Without a Cause", 2.5
"The Last Waltz", 4
"Fight Club", 4.5
"The Dark Knight", 3
"The Desolation of Smaug", 2.5
"Risky Business", 3.5
"Gravity", 3
"True Romance", 3
"12 Angry Men", 4.5
"American Hustle", 3.5
"The Wolf of Wall Street", 3.5
"One Flew Over The Cuckoo's Nest", 4
"Inside Llewyn Davis", 3.5
"Blood Simple", 3.5
"Raising Arizona", 3
"La Haine", 4
"Memento", 4
"Miller's Crossing", 3
"Barton Fink", 4
"12 Years a Slave", 3.5
"The Hudsucker Proxy", 3
"Fargo", 4
"O Brother, Where Art Thou?", 3.5
"Her", 3
"Pan's Labyrinth", 4
"The Man Who Wasn't There", 3.5
"Intolerable Cruelty", 3
"The Ladykillers", 3
"Under The Skin", 3
"No Country for Old Men", 4.5
"Burn After Reading", 3
"The Grand Budapest Hotel", 3.5
"A Serious Man", 4
"True Grit", 3.5
"The Remains of the Day", 4
"Rear Window", 4.5
"Dial M for Murder", 4
"Rope", 3
"North by Northwest", 3.5
"The Birds", 3
"A Few Good Men", 4
"Hoop Dreams", 4
"Blow Out", 3.5
"Rashomon", 3.5
"Rio Bravo", 3.5
"Stagecoach", 3
"Se7en", 4
"Gone Girl", 3
"The Ox-bow Incident", 4.5
"Fahrenheit 9/11", 3
"Inside Job", 3.5
"Withnail & I", 2.5
"My Darling Clementine", 3
"The Royal Tenenbaums", 3.5
"Rushmore", 4
"Interstellar", 2.5
"American Beauty", 4.5
"Boyhood", 4.5
"The Imitation Game", 2
"Turner", 3
"American Psycho", 3
"The Hobbit: The Battle of the Five Armies", 2
"Road to Perdition", 3
"Moonrise Kingdom", 3
"Amores Perros", 3
"Birdman", 4
"The Invisible War", 3
"All the President's Men", 3
"The Manchurian Candidate", 4
"There Will Be Blood", 4
"Foxcatcher", 3.5
"Boogie Nights", 3.5
"Magnolia", 2.5
"The Theory of Everything", 3.5
"Synecdoche New York", 3.5
"Being John Malkovich", 4
"Inherent Vice", 3
"The Master", 3
"Selma", 3.5
"Blue Velvet", 3
"Lost Highway", 3.5
"Frank", 3
"Traffic", 3.5
"Mulholland Dr.", 5
"Crash", 2.5
"Sex, Lies and Videotape", 4.5
"American Sniper", 2
"Kafka", 3
"It Follows", 3
"The Treasure of the Sierra Madre", 2.5
"Slacker", 1
"High Noon", 4
"Red River", 2.5
"Whiplash", 3.5
"Donnie Darko", 3.5
"Rancho Notorious", 3
"The Searchers", 3
"A Fistful of Dollars", 4
"For a Few Dollars More", 4
"Once Upon a Time in the West", 4
"The Life Aquatic with Steve Zissou", 2.5
"Lost in Translation", 4
"Made in Britain", 3
"Duck, You Sucker!", 3.5
"King of the Hill", 3
"Trainspotting", 3
"Schizopolis", 1
"Out of Sight", 3
"The Limey", 2
"The Wild Bunch", 3
"Avengers: Age of Ultron", 3
"Mad Max: Fury Road", 3
"Twin Peaks: Fire Walk With Me", 3.5
"Jurassic World", 2.5
"The Act of Killing", 4
"The Exorcist", 3.5
"Unforgiven", 4
"Slow West", 3.5
"Eraserhead", 2.5
"Gia", 3
"A Mighty Heart", 2.5
"Gladiator", 3
"Crouching Tiger, Hidden Dragon", 3
"Battle Royale", 3.5
"Snatch", 2.5, 2000
"Cast Away", 3.5
"Inside Out", 3
"A Beautiful Mind", 3
"The Elephant Man", 3.5
"Amelie", 4
"Mistress America", 4
"The Dance of Reality", 3
"Contagion", 2.5
"Raise the Red Lantern", 4
"Lock, Stock and Two Smoking Barrels", 4
"Star Wars: Episode I - The Phantom Menace", 1.5
"Star Wars: Episode VII - The Force Awakens", 3.5
"Bridge of Spies", 3.5
"While We're Young", 4
"Carol", 3.5
"Star Wars: Episode II - Attack of the Clones", 1.5
"Joy", 3.5
"Hot Fuzz", 4
"The Hateful Eight", 3
"The Revenant", 3
"Spectre", 2.5
"Hail Caesar", 2.5
"10 Cloverfield Lane", 3
"Eddie the Eagle", 3
"Batman v Superman: Dawn of Justice", 2.5, 2016
"Thief", 2
"The Jungle Book", 3, 2016
